统计项目,数值,说明
总边数,63,候选因果边总数
核心边数,26,通过筛选的核心边数
核心边比例,41.27%,核心边占总边数的比例
平均置信度,0.5424,所有边的平均置信度
置信度标准差,0.1658,置信度的标准差
置信度中位数,0.5630,置信度的中位数
结构一致性_平均,0.5206,结构一致性维度的平均评分
结构一致性_标准差,0.1692,结构一致性维度评分的标准差
参数拟合_平均,0.4051,参数拟合维度的平均评分
参数拟合_标准差,0.2058,参数拟合维度评分的标准差
中介支持_平均,0.8650,中介支持维度的平均评分
中介支持_标准差,0.4225,中介支持维度评分的标准差
专家定向_平均,0.2841,专家定向维度的平均评分
专家定向_标准差,0.0748,专家定向维度评分的标准差
